timestamp_extraccion,ubicacion_id,ubicacion_nombre,ciudad,latitud,longitud,proveedor,owner,tipo_instrumento,es_movil,es_monitor,fecha_primer_dato,fecha_ultimo_dato,timezone,total_sensores,parametros_disponibles
2025-08-08T21:25:25.398616,941,Los Maitenes,Puchuncaví,-32.764139,-71.454494,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:34.650352,963,Universidad de Talca,Talca,-35.406582744695,-71.633396474869,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T21:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:43.918477,967,Pudahuel (Acreditada),Pudahuel,-33.437811379126,-70.750171233135,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:25:56.163440,975,Viña del Mar,Viña del Mar,-33.020419817382,-71.550092842922,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:26:05.818067,990,Valdivia,Valdivia,-39.831316104673,-73.22851282209,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-07-24T19:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:26:15.307292,997,Rancagua I,Rancagua,-34.162314609087,-70.713919225517,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:26:23.836713,1605,U.C. Maule,Talca,-35.435725588722,-71.619553864003,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T02:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:26:33.300704,2198,Osorno,Osorno,-40.584478665958,-73.11871982209,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T12:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:26:45.501704,2266,Quilpue,Sin ciudad,-33.047466597243,-71.434512871895,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2017-06-28T17:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:26:55.121214,2268,Quilicura,Quilicura,-33.349626928347,-70.723792612552,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-04-27T22:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:27:04.265273,2284,Quillón,Sin ciudad,-36.743905,-72.47721,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2017-12-02T07:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:27:13.240303,2332,Rengo,Rengo,-34.394541417902,-70.852981542328,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:27:22.618739,2432,Estación Centro,Calama,-22.462144644633998,-68.92806169339,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-05T13:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:27:35.229590,2497,Santa Margarita,Catemu,-32.776573,-70.938144,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:27:44.603555,2528,Lota urbana,Coronel,-37.077619809695,-73.154136498581,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:27:53.582978,2575,Romeral,Catemu,-32.823956,-71.006441,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:28:02.260252,25,Parque O'Higgins,Santiago,-33.464142,-70.660797,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:28:11.193126,27,Concón,Concón,-32.924568,-71.515399,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:28:23.218661,45,Puente Alto,Puente Alto,-33.591390623022,-70.594788,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:28:32.457912,47,Valparaiso,Valparaíso,-33.049743798096,-71.614167231712,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:28:41.425781,54,Talagante,Talagante,-33.673752071375,-70.953064737434,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:28:50.679818,65,Punteras,Chiguayante,-36.923329602986,-73.036132300941,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:28:59.985020,67,Ventanas,Sin ciudad,-32.77898790221,-71.373031276855,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2018-08-29T18:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:29:12.175068,73,Coyhaique II,Coyhaique,-45.579045667164,-72.049964505825,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:29:21.182594,145,Escuela E-10,Sin ciudad,-22.087,-70.193253,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2016-02-24T21:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:29:30.245093,299,Quilicura,Sin ciudad,-33.365775677885,-70.748288055225,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2016-04-27T16:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:29:39.265075,377,Sur,Sin ciudad,-32.800981,-71.483371,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-02-12T05:00:00Z,2018-08-29T18:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:29:48.627601,388,Lota rural,Coronel,-37.100696257418,-73.155760394707,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:30:00.618416,399,Puren,Chillán,-36.616167751711,-72.093040558483,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T22:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:30:10.855388,725,Independencia,Sin ciudad,-33.422301,-70.651162,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2021-08-08T04:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:30:20.537625,808,Indura,Talcahuano,-36.769803,-73.113708,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:30:29.838487,810,JUNJI,Hualpén,-36.780632,-73.115657,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
2025-08-08T21:30:39.826972,812,ENAP Price,Hualpén,-36.791231,-73.119152,Chile - SINCA,Unknown Governmental Organization,Government Monitor,False,True,2016-01-30T01:00:00Z,2025-08-08T23:00:00Z,America/Santiago,6,"co, no2, o3, pm10, pm25, so2"
